"","x"
"1",99.1583926942074
"2",100.883494603043
"3",98.2987376262158
"4",99.9113086542936
"5",100.349543499523
"6",98.6791956383632
"7",96.7512907017786
"8",100.228867701885
"9",99.1997544332048
"10",98.3992408223789
"11",106.490269055564
"12",112.431703608874
"13",112.158036721615
"14",111.247894619139
"15",103.805065544462
"16",108.871100749606
"17",112.929061806098
"18",112.523209875231
"19",107.171221473438
"20",107.924976512798
"21",110.986688077108
"22",111.899301292564
"23",112.332761453866
"24",109.496748737945
"25",104.683702316383
"26",121.277852656602
"27",114.447042368749
"28",112.111186825905
"29",131.086781661945
"30",111.943719836412
"31",107.887691481279
"32",133.00134452125
"33",125.36384046935
"34",121.000721529757
"35",126.160254631958
"36",109.627245962182
"37",114.042517693518
"38",116.854303785147
"39",126.6765399601
"40",119.361339148355
"41",112.318184122872
"42",119.970443747499
"43",117.606388430125
"44",131.436226557263
"45",115.632659465588
"46",158.802931266623
"47",148.128724207023
"48",150.293557777713
"49",142.904554165238
"50",131.295190281895
"51",125.16359963605
"52",131.099675961351
"53",132.275272041618
"54",130.929182070792
"55",142.469870571242
"56",139.323929313966
"57",157.684308819615
"58",146.764261606489
"59",131.35014522013
"60",146.73001685794
"61",143.211963982478
"62",142.077003749729
"63",142.906267545782
"64",150.144743556558
"65",138.520741683984
"66",151.504652805805
"67",132.942698253006
"68",139.225520192116
"69",132.13324708674
"70",127.142131234215
"71",209.745755259636
"72",176.249546254369
"73",170.306064739305
"74",176.593148671101
"75",184.571261046515
"76",151.384336576706
"77",207.953276054254
"78",228.459834621639
"79",228.325062995378
"80",199.266997604759
"81",194.318324746656
"82",214.126789789421
"83",186.070512930856
"84",189.973479285791
"85",218.492655385225
"86",174.076956444417
"87",169.758720268673
"88",154.307208804664
"89",213.268281708568
"90",174.478441895825
"91",206.922337482967
"92",210.720086509707
"93",198.491542811134
"94",201.860830318711
"95",224.252411944883
"96",191.276915113551
"97",180.203136883671
"98",181.998707819264
"99",248.936281264563
"100",197.517283721051
"101",256.506242299948
"102",162.526309507236
"103",198.825397582645
"104",201.221770592033
"105",203.879808751419
"106",240.110904926349
"107",208.252792261334
"108",148.112088680599
"109",246.635739383767
"110",242.050037693836
"111",218.303935804382
"112",233.025115666568
"113",132.240620489756
"114",130.311931624112
"115",232.055737510313
"116",172.40621450967
"117",190.600579232212
"118",194.54807749311
"119",184.79753278863
"120",158.574813461876
"121",224.513471378693
"122",167.103021810216
"123",173.221616584281
"124",172.153260127829
"125",209.690503371615
"126",252.127427226182
"127",212.621658191872
"128",198.000059050355
"129",148.330527625494
"130",159.514319104383
"131",160.05257323406
"132",206.559198142749
"133",207.436398629621
"134",211.762873659258
"135",232.235843919453
"136",232.421203370407
"137",279.584683492019
"138",276.415192322894
"139",131.460617222363
"140",256.531478688788
"141",312.738289541587
"142",349.301556159566
"143",306.132465710277
"144",287.104185928372
"145",221.638472929434
"146",162.935007122412
"147",256.322757787586
"148",286.199986256661
"149",158.633222598859
"150",213.089007780467
"151",214.375544068681
"152",307.958726415974
"153",264.862196357969
"154",290.392909258363
"155",260.475425794009
"156",285.454917446356
"157",224.780002044394
"158",300.219193525779
"159",273.187073182123
"160",218.805252841439
"161",208.376602445544
"162",206.368580263589
"163",150.233990724814
"164",229.202431974662
"165",295.610276316768
"166",289.749676976717
"167",326.950646590183
"168",298.307335291943
"169",240.121791106517
"170",301.57875198014
"171",214.347032360089
"172",253.898852045781
"173",253.323792191632
"174",194.58352318872
"175",191.182250429606
"176",15.7695561589069
"177",153.680252921179
"178",238.926289811574
"179",213.169730186754
"180",285.338413760035
"181",0.584831046772206
"182",483.312987609095
"183",308.051299155679
"184",513.998409856233
"185",351.709287415807
"186",108.337614700745
"187",256.789865727034
"188",169.820609036606
"189",241.127556372662
"190",495.878177219156
"191",250.409093320445
"192",384.546872822374
"193",542.166176238812
"194",42.8368596388515
"195",325.932633119684
"196",416.162065536439
"197",408.042225823473
"198",398.539826478259
"199",119.30115122536
"200",220.07629735817
"201",101.949044670218
"202",458.29182941804
"203",247.301260573441
"204",642.585319916609
"205",443.5927350288
"206",79.1982154750824
"207",110.761422643288
"208",586.762635312366
"209",227.131554316875
"210",499.930645419585
"211",255.476156722533
"212",174.446476078093
"213",304.793189847007
"214",352.929977234787
"215",280.738730942855
"216",13.0417901027198
"217",396.580928668981
"218",181.725350500448
"219",190.584572704465
"220",337.085934566269
"221",431.56767038125
"222",160.200841232005
"223",489.736763046479
"224",287.534484966933
"225",387.37825163529
"226",512.399047297803
"227",84.3007291644454
"228",480.483698935901
"229",444.98181751917
"230",364.781811022187
"231",546.970058792208
"232",384.392582118468
"233",650.036304164535
"234",474.172654455889
"235",307.853113809462
"236",372.311753341943
"237",465.97195394357
"238",96.1066541583613
"239",465.163448437244
"240",585.119195866668
"241",317.423234483538
"242",387.261472268183
"243",601.605271171195
